time,open,high,low,close,"ISCTR, BIST: Open","ISCTR, BIST: High","ISCTR, BIST: Low","ISCTR, BIST: Close","AKBNK, BIST: Open","AKBNK, BIST: High","AKBNK, BIST: Low","AKBNK, BIST: Close","VAKBN, BIST: Open","VAKBN, BIST: High","VAKBN, BIST: Low","VAKBN, BIST: Close","YKBNK, BIST: Open","YKBNK, BIST: High","YKBNK, BIST: Low","YKBNK, BIST: Close","GARAN, BIST: Open","GARAN, BIST: High","GARAN, BIST: Low","GARAN, BIST: Close"
2007-06-28T06:00:00Z,88290.188,91008.781,88290.188,91008.781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.09554,4.21339,4.09554,4.18393
2007-06-29T06:00:00Z,91008.781,92961.547,90839.828,92944.43,3.73679,3.798049,3.675531,3.76742,4.664565,4.696734,4.568057,4.696734,3.3,3.42,3.28,3.38,1.616528,1.650205,1.605302,1.63898,4.21342356,4.33128144,4.21342356,4.33128144
2007-07-02T06:00:00Z,92944.43,95056.211,92944.43,95056.211,3.76742,3.889937,3.76742,3.859308,4.664565,4.761073,4.664565,4.761073,3.38,3.5,3.38,3.48,1.63898,1.683883,1.63898,1.683883,4.301817,4.537533,4.301817,4.508069
2007-07-03T06:00:00Z,96854.391,98174.508,96854.391,98008.047,3.981825,4.073714,3.920567,4.043084,4.793242,4.889751,4.793242,4.889751,3.54,3.58,3.54,3.56,1.706335,1.717561,1.695109,1.706335,4.625926,4.743785,4.625926,4.71432
2007-07-04T06:00:00Z,98008.047,101650.6,98008.047,101032.2,4.043084,4.28812,4.043084,4.196231,4.889751,5.114936,4.889751,5.114936,3.56,3.74,3.56,3.66,1.706335,1.784916,1.706335,1.762464,4.71432,4.861643,4.71432,4.832178
2007-07-05T06:00:00Z,101032.2,102450.1,101032.2,102450.1,4.25749,4.318749,4.165602,4.226861,5.147106,5.307953,5.147106,5.243614,3.7,3.74,3.64,3.72,1.77369,1.852271,1.77369,1.807368,4.861643,4.891107,4.802713,4.861643
2007-07-06T06:00:00Z,102450.1,103296.2,101532.3,102107.7,4.196231,4.25749,4.165602,4.226861,5.243614,5.404461,5.179276,5.211445,3.68,3.78,3.68,3.78,1.784916,1.841045,1.784916,1.841045,4.832178,4.861643,4.773249,4.773249
2007-07-09T06:00:00Z,102107.7,105796.2,102107.7,105357,4.318749,4.410637,4.318749,4.349379,5.275784,5.533139,5.275784,5.50097,3.8,3.94,3.8,3.88,1.863497,1.874723,1.841045,1.863497,4.861643,4.891107,4.832178,4.832178
2007-07-10T06:00:00Z,105357,105475,103188.7,103188.7,4.349379,4.349379,4.226861,4.226861,5.50097,5.50097,5.275784,5.340123,3.88,3.88,3.78,3.78,1.863497,1.874723,1.82982,1.82982,4.832178,4.832178,4.71432,4.743785
2007-07-11T06:00:00Z,103188.7,103188.7,100589.9,101486,4.165602,4.25749,4.134973,4.196231,5.307953,5.307953,5.179276,5.243614,3.74,3.78,3.7,3.76,1.818594,1.82982,1.784916,1.818594,4.684855,4.684855,4.508069,4.596462
2007-07-12T06:00:00Z,101486,107673.2,101486,107006.9,4.226861,4.441267,4.226861,4.441267,5.340123,5.790494,5.340123,5.693986,3.8,3.94,3.8,3.9,1.841045,1.942078,1.841045,1.930853,4.655391,4.773249,4.655391,4.743785
2007-07-13T06:00:00Z,107006.9,109964.7,107006.9,107573,4.563784,4.625044,4.410637,4.441267,5.790494,5.951341,5.693986,5.726155,3.96,4.02,3.94,3.96,1.986982,1.998208,1.930853,1.953304,4.861643,4.891107,4.802713,4.861643
2007-07-16T06:00:00Z,107573,107924.9,106355.6,106873.4,4.441267,4.441267,4.349379,4.380008,5.726155,5.758325,5.629647,5.693986,3.96,3.96,3.92,3.94,1.953304,2.031885,1.942078,2.009434,4.832178,4.832178,4.773249,4.773249
2007-07-17T06:00:00Z,106873.4,106873.4,104676.3,106522.4,4.380008,4.380008,4.25749,4.380008,5.661817,5.661817,5.436631,5.533139,3.94,3.96,3.88,3.96,2.009434,2.099241,1.975756,2.065563,4.773249,4.802713,4.684855,4.802713
2007-07-18T06:00:00Z,106522.4,106629.1,104846.9,105732.1,4.318749,4.349379,4.25749,4.318749,5.372292,5.597478,5.372292,5.50097,3.9,3.92,3.82,3.86,2.02066,2.121693,2.02066,2.076789,4.743785,4.832178,4.743785,4.802713
2007-07-19T06:00:00Z,105732.1,112372.7,105732.1,112366.6,4.380008,4.594414,4.380008,4.563784,5.565308,6.047849,5.565308,6.047849,3.92,4.02,3.92,3.98,2.110467,2.144144,2.110467,2.132919,4.861643,5.185752,4.861643,5.185752
2007-07-20T06:00:00Z,112366.6,112588.6,111135.6,111826.8,4.563784,4.563784,4.441267,4.471896,6.080019,6.080019,5.887002,5.919172,3.96,4.04,3.94,4.02,2.099241,2.2115,2.099241,2.200274,5.185752,5.244681,5.126823,5.215217
2007-07-23T06:00:00Z,111826.8,120340,111826.8,118729.4,4.655673,4.83945,4.594414,4.778191,6.176527,6.530391,6.144358,6.305205,4.2,4.28,4.2,4.24,2.323759,2.368662,2.312533,2.323759,5.450932,5.657184,5.362539,5.62772
2007-07-24T06:00:00Z,118729.4,119204.6,115842.6,116480.4,4.778191,4.778191,4.625044,4.625044,6.305205,6.305205,6.080019,6.112188,4.24,4.38,4.24,4.3,2.334984,2.334984,2.222726,2.233951,5.598255,5.716113,5.509862,5.56879
2007-07-25T06:00:00Z,116480.4,116480.4,114906.1,115416.8,4.533155,4.563784,4.502526,4.502526,5.983511,6.047849,5.919172,5.983511,4.2,4.38,4.2,4.34,2.189048,2.2115,2.177822,2.189048,5.450932,5.62772,5.450932,5.56879
2007-07-26T06:00:00Z,115416.8,115416.8,107888.3,109357.6,4.502526,4.502526,4.165602,4.226861,5.951341,5.951341,5.597478,5.758325,4.36,4.36,3.98,4.04,2.189048,2.189048,2.031885,2.054337,5.539326,5.539326,5.126823,5.156288
2007-07-27T06:00:00Z,106136.2,107961.5,105220.2,107860.4,4.043084,4.226861,4.043084,4.196231,5.629647,5.629647,5.50097,5.597478,3.88,4.06,3.88,4.06,1.998208,2.088015,1.998208,2.088015,4.950036,5.097358,4.891107,5.097358
2007-07-30T06:00:00Z,107860.4,107860.4,104789.9,107343.1,4.196231,4.196231,4.073714,4.196231,5.565308,5.565308,5.340123,5.565308,4,4.08,3.94,4.08,2.065563,2.144144,2.054337,2.132919,5.067894,5.097358,4.920572,5.097358
2007-07-31T06:00:00Z,109046.4,111192.1,109046.4,110728.5,4.25749,4.410637,4.25749,4.349379,5.693986,5.758325,5.661817,5.693986,4.14,4.18,4.12,4.18,2.166596,2.200274,2.15537,2.177822,5.156288,5.333075,5.156288,5.30361
2007-08-01T06:00:00Z,105073.4,106633,104299.5,106633,4.104343,4.196231,4.104343,4.196231,5.436631,5.4688,5.372292,5.4688,3.92,4.04,3.92,4,2.031885,2.110467,2.031885,2.099241,4.9795,5.126823,4.9795,5.097358
2007-08-02T06:00:00Z,106633,107352,105542,106679.2,4.226861,4.226861,4.134973,4.196231,5.533139,5.565308,5.372292,5.50097,4.06,4.06,3.9,3.92,2.132919,2.132919,2.076789,2.088015,5.156288,5.156288,5.03843,5.097358
2007-08-03T06:00:00Z,106679.2,107045.5,104548.9,104716,4.226861,4.226861,4.073714,4.073714,5.533139,5.565308,5.404461,5.404461,3.98,3.98,3.84,3.84,2.099241,2.099241,2.02066,2.031885,5.126823,5.126823,4.950036,5.008965
2007-08-06T06:00:00Z,104716,104716,103454,104039.4,3.981825,4.134973,3.981825,4.073714,5.307953,5.404461,5.307953,5.372292,3.78,3.86,3.78,3.8,1.998208,2.054337,1.998208,2.043111,4.920572,4.9795,4.891107,4.950036
2007-08-07T06:00:00Z,104039.4,106674.8,104039.4,105061.4,4.165602,4.226861,4.134973,4.134973,5.4688,5.4688,5.340123,5.372292,3.86,3.9,3.84,3.86,2.076789,2.088015,2.043111,2.054337,5.008965,5.156288,5.008965,5.03843
2007-08-08T06:00:00Z,105061.4,108878.2,105061.4,108132.5,4.196231,4.28812,4.165602,4.226861,5.436631,5.597478,5.436631,5.533139,3.92,4.06,3.92,4.04,2.065563,2.132919,2.065563,2.132919,5.126823,5.274145,5.126823,5.215217
2007-08-09T06:00:00Z,108132.5,108132.5,102668.6,102668.6,4.226861,4.226861,4.012455,4.012455,5.565308,5.565308,5.211445,5.211445,4.08,4.08,3.88,3.88,2.132919,2.132919,2.009434,2.031885,5.274145,5.274145,4.832178,4.891107
2007-08-10T06:00:00Z,102668.6,102668.6,98832.922,100282.4,3.920567,3.951196,3.76742,3.920567,5.114936,5.211445,5.082767,5.179276,3.82,3.86,3.76,3.8,2.009434,2.02066,1.953304,2.02066,4.802713,4.802713,4.655391,4.71432
2007-08-13T06:00:00Z,102084.8,103529.8,100722.8,103323.7,4.012455,4.043084,3.889937,3.981825,5.243614,5.340123,5.179276,5.340123,3.88,3.94,3.84,3.94,2.054337,2.088015,2.031885,2.076789,4.832178,4.950036,4.743785,4.920572
2007-08-14T06:00:00Z,103323.7,103323.7,100946.1,102703.2,3.920567,3.981825,3.889937,3.951196,5.275784,5.372292,5.243614,5.340123,3.88,3.92,3.86,3.88,2.054337,2.076789,2.043111,2.065563,4.832178,4.891107,4.773249,4.861643
2007-08-15T06:00:00Z,102703.2,102703.2,95974,97589.047,3.798049,3.798049,3.675531,3.73679,5.179276,5.179276,4.986259,5.114936,3.76,3.76,3.56,3.58,2.009434,2.02066,1.975756,2.02066,4.684855,4.684855,4.478604,4.596462
2007-08-16T06:00:00Z,97589.047,97589.047,89118.508,90757.539,3.614272,3.614272,3.399867,3.553014,4.986259,4.986259,4.664565,4.761073,3.42,3.42,3.18,3.22,1.96453,1.96453,1.852271,1.897175,4.419675,4.419675,4.12503,4.272353
2007-08-17T06:00:00Z,90757.539,96448.273,87982.188,96448.273,3.461125,3.859308,3.461125,3.828678,4.568057,4.986259,4.568057,4.986259,3.18,3.5,3.18,3.48,1.852271,2.043111,1.852271,2.031885,4.12503,4.566998,4.095565,4.537533
2007-08-20T06:00:00Z,96448.273,96448.273,94391.359,94391.359,3.859308,3.859308,3.706161,3.706161,4.92192,4.954089,4.825412,4.857581,3.48,3.48,3.38,3.4,2.02066,2.02066,1.975756,1.986982,4.478604,4.508069,4.419675,4.419675
2007-08-21T06:00:00Z,94391.359,94391.359,91528.594,91528.594,3.706161,3.73679,3.553014,3.614272,4.825412,4.825412,4.600226,4.664565,3.4,3.4,3.28,3.3,1.975756,1.986982,1.908401,1.919627,4.419675,4.44914,4.301817,4.301817
2007-08-22T06:00:00Z,91528.594,96429.844,91528.594,95992.289,3.675531,3.798049,3.675531,3.76742,4.728904,5.018428,4.728904,4.954089,3.38,3.46,3.38,3.46,1.953304,2.009434,1.953304,2.009434,4.39021,4.566998,4.39021,4.537533
2007-08-23T06:00:00Z,95992.289,99197.352,95992.289,97463.43,3.859308,3.859308,3.73679,3.76742,5.050598,5.179276,5.018428,5.082767,3.52,3.54,3.44,3.46,2.043111,2.043111,1.975756,1.975756,4.684855,4.71432,4.625926,4.684855
2007-08-24T06:00:00Z,97463.43,97463.43,95565.648,95613.023,3.706161,3.798049,3.706161,3.76742,5.050598,5.050598,4.92192,4.92192,3.42,3.44,3.32,3.36,1.975756,1.998208,1.96453,1.975756,4.625926,4.684855,4.566998,4.566998
2007-08-27T06:00:00Z,95613.023,97924.047,95613.023,97712.219,3.828678,3.828678,3.76742,3.828678,5.050598,5.050598,4.954089,5.018428,3.42,3.5,3.42,3.5,2.009434,2.009434,1.986982,1.998208,4.684855,4.743785,4.655391,4.684855
2007-08-28T06:00:00Z,97712.219,97766.617,96194.398,97114.813,3.798049,3.828678,3.73679,3.798049,4.954089,4.986259,4.889751,4.92192,3.46,3.52,3.44,3.52,1.975756,1.998208,1.975756,1.975756,4.655391,4.684855,4.596462,4.655391
