Open;High;Low;Close;VOL            
1242;1242.75;1239.75;1241;149
1241;1241.25;1240;1240;94
1241;1242;1241;1241.5;16
1241.75;1242;1240;1240;70
1240;1242.25;1240;1242.25;27
1242.25;1243;1241;1241.25;39
1242;1242;1240.25;1241.5;67
1242;1242;1241.5;1241.5;3
1242.5;1243.25;1242.5;1242.5;52
1242.25;1242.5;1239.5;1239.5;251
1240;1241.75;1239.5;1241.75;344
1240.25;1241;1239.25;1239.5;57
1240;1241.5;1239.5;1240.5;224
1240.25;1242.25;1239.25;1239.25;146
1239;1239;1235.5;1238;235
1237.5;1237.5;1233.5;1236.75;325
1236.25;1236.5;1235;1235;94
1235;1236;1233.5;1235.25;152
1235.5;1238.25;1235.5;1235.75;67
1236.25;1236.25;1235;1235;33
1235;1235;1231;1231.75;158
1232;1232;1226.5;1228;399
1227;1228.75;1224;1225.5;218
1226.5;1226.5;1222.5;1223.5;216
1222.25;1226.5;1222.25;1226.5;9
1226.25;1227;1226;1227;6
1226.5;1226.5;1226.5;1226.5;1
1223.75;1224;1223.75;1224;2
1223.75;1226;1223.75;1226;5
1225.75;1225.75;1225.75;1225.75;1
1226;1227.25;1226;1227;13
1227.75;1228;1227.75;1228;6
1227;1227;1227;1227;1
1227;1227;1227;1227;2
1226.5;1226.5;1225.75;1225.75;17
1227.25;1227.25;1227.25;1227.25;1
1227;1227.5;1227;1227.25;3
1227;1228.5;1227;1228.25;17
1227.5;1228.5;1227.25;1227.75;56
1227.25;1229;1226;1227.5;87
1228;1230;1221;1223.25;188
1225;1227;1225;1226.75;77
1225.5;1226;1222.5;1224.5;46
1225;1228.5;1225;1228.5;82
1228.5;1230.5;1228.5;1230;74
1230;1231;1230;1231;174
1230.75;1231.5;1229;1229;82
1230;1230.5;1228.5;1230.5;12
1230.5;1230.5;1230;1230.25;32
1230.5;1234;1230;1233.5;113
1233.25;1234;1232.25;1232.5;179
1232.5;1233;1232;1232;23
1231.5;1231.5;1230.5;1231.25;20
1232;1232;1232;1232;2
1232.5;1232.5;1231.5;1232;107
1231;1233;1230;1233;34
1233;1235;1232.75;1233.75;124
1233.5;1234.25;1232.5;1233.25;53
1233.25;1233.5;1232.5;1232.5;26
1232;1232;1229.5;1231;47
1230;1230.75;1229;1230;128
1229.75;1231.25;1227;1231.25;124
1231;1233;1231;1233;36
1232.75;1233;1231.75;1232.5;80
1233.5;1236.75;1233.5;1236.25;145
1235.25;1236;1234.25;1234.25;28
1236;1236;1234.5;1235.5;17
1235.25;1235.25;1231.5;1231.5;33
1231.25;1236;1231.25;1236;141
1236.25;1236.5;1235.25;1235.75;61
1236.5;1238;1235.25;1236.75;103
1235.25;1236.75;1235.25;1235.25;4
1235.25;1235.75;1234;1234.5;154
1237.75;1238.25;1237.5;1238.25;20
1237;1238;1237;1238;3
1238;1238;1236.75;1236.75;4
1237.25;1238.25;1237.25;1238.25;10
1238.25;1238.25;1238;1238;2
1238.75;1240.5;1238.75;1240.25;23
1240.25;1241.5;1240.25;1240.5;22
1240.5;1241;1240.5;1240.75;9
1240;1240;1240;1240;1
1240;1240;1240;1240;3
1240.75;1241.25;1240.75;1241.25;4
1241.5;1242.5;1241.25;1242.25;42
1242.5;1242.5;1241.75;1241.75;7
1238.25;1244.5;1238.25;1243.75;156
1242.5;1244;1242;1243.75;52
1243.75;1243.75;1241;1241;91
1240.5;1242.25;1240.5;1242.25;28
1242.25;1242.75;1239.5;1239.5;130
1241;1244.25;1241;1244;45
1244;1244;1242.5;1243.5;26
1243.5;1244.25;1243;1243;23
1241.75;1244.5;1241.75;1244.5;38
1244.75;1245.75;1244.5;1245.75;46
1245.75;1246;1244.75;1245.25;22
1246;1246;1244;1244;8
